Ferris, Barbara/Bull, Peter
Cassani, Gino/Davenport, Nigel
Bailey, Kimberly/Carter, John
Allen, Robert/Adam, Ronald
Price, Alonzo/MacDonald, James
Jackson, Ron/Bull, Richard
Gilmore, Janet/Gerber, Joan
Coleman, Michael/Amer, Nicolas
S�der, Rolf/Fabray, Nanette
Conners, Jim/Bergen, Bob
Nordin, Graham/Cargill, Patrick
Lane, Allan/Bloom, Claire
Mortimer, Francis/LuPone, Robert
Almy, Brooks/Tobolowsky, Stephen
Gonzalez, Ed 'Snow Hawk'/Proctor, Philip
Cole, Julie Dawn/Mann, Danny
Johnson, Lance/Ayres, Lew
Raj, Prayag/Geer, Will
Borg, Katia/Plummer, Christopher
Croft, Leila/Bouchey, Willis
Crawley, Amos/Bernhard, Sandra
Bayldon, Geoffrey/Chandler, George
Henderson, Don/Close, Glenn
Kelly, Terence/Bill, Tony
Berti, Marina/Chevalier, Maurice
O'Connor, Maureen/Caillou, Alan
Cannon, Sherrill/Plummer, Christopher
Bennard, Fran�ois/Abbott, John
Onorato, Glauco/Adam, Ronald
Deems, Mickey/Burke, Walter
Dow, Coleman/Baker, George
Jarvis, Bill/Cargill, Patrick
Price, Vincent/Garber, Victor
Antrobus, Yvonne/Arkin, Alan
Jason, Rick/Frees, Paul
Tracy, Spencer/Moreno, Rita
Keelan, John/Cargill, Patrick
Ralph, Sheryl Lee/Adler, Charles
Mesnage, Marie-Laure/Bourgeois, John
Giraud, Claude/Williams, John
Kortitschew, Dima/Lee, Margaret
Williamson, Nicol/Cargill, Patrick
von Friedl, Loni/Chadwick, Robin
Hartman, Elizabeth/Morgan, Harry
Dutil, Muriel/Allen, Rex
Wray, John/Corey, Jeff
Argenziano, Carmen/Williams, John
Daemion, Amiel/Dobtcheff, Vernon
Herder, Andreas/Conway, Tim
Rosenthal, Sol/Collier, Patience
Hoyt, Arthur/Corey, Jeff
Brooks, Matthew/Baker, George
Persson, Essy/Albert, Eddie
Kobe, Gail/Howard, Vince
Nordin, Birgit/Butala, Tony
Lipton, Lynn/Dobtcheff, Vernon
Penry-Jones, Rupert/Heston, Charlton
Bean, Sean/Heston, Charlton
Bruce, Eve/Gary, Linda
Sira, Gurdial/Wayne, John
Ortega, Ernie/Bergman, Mary Kay
McGuinn, Joe/Tamblyn, Russ
Stout, Austin/DeLuise, Dom
Buresh, Christie/Franciscus, James
Wilcoxon, Henry/Connolly, Billy
Allred, Amy/Camp, Colleen
Seaman Jr., David/Sully, Frank
Gerr, Jamie/Corby, Ellen
Bolgar, Benjie/Bromilow, Peter
McBeath, Tom/Bill, Tony
McGovern, Johnny/von Detten, Erik
Adamson, George/Bayldon, Geoffrey
Kruschen, Jack/Reed, David
Alsdorf, Bridget/Corby, Ellen
Peterson, Maggie/Booke, Sorrell
Sartoris, Ren�/Chaplin, Charles
Taylor, Davina/McKinley, J. Edward
Kekoa, Sterling/Corby, Ellen
Francis, Eric/Coleman, Michael
Archer, Anne/Romero, Cesar
Malkin, Sam/Silvers, Phil
Bates-Campbell, Lola/De Longis, Anthony
Tipping, Brian/Van Dyke, Dick
Jones, Roy/Benedict, William 'Billy'
Monroe, Tom/Sawamura, Ikio
Adorf, Mario/Worden, Hank
Saylor, Shannon/Brandon, Henry
Olson, Heather Lauren/Flynn, Joe
Ranft, Sophia/Randall, Tony
Ross, Hector/Chevalier, Maurice
Hutchison, Jim/Bloom, Claire
Washington, Blue/Coleman, Bryan
Sheen, Martin/Adrian, Iris
Grody, Gordon/Carlson, Richard
Campbell, Ross/Temple, Shirley
Lohr, Aaron)/Whitaker, Johnny
Collins, Kevin/Gwillim, Jack
Ramus, Nick/Jones, Carolyn
Anfinsen, Tom/Lee, Christopher
Paul, Gloria/Gabor, Eva
Leor, Hahman/Ayres, Lew
Harris, Mary Lou/Mayeska, Ir�na
Jordan, Ted/Reed, David
Kennedy, Shirley Ann/Franciscus, James
Kay, Lisa/Almanzar, James
Markham, Harry/Arkin, Alan
Parham, Vera/Corby, Ellen
Gillespie, Bonnie/Bloom, Claire
Baucin, E./Bondi, Beulah
Carr, Mick/Bondi, Beulah
O'Connor, Dennis/Albert, Eddie
Doran, Johnny/Irwin, Charles
McFadden, Gates/Mayeska, Ir�na
Stewart, Nick/Felton, Verna
Martin, Dick/Kinnear, Roy
Napier, Marshall/Carter, John
Murray, Jan/Frees, Paul
Romano, Andy/Le Mesurier, John
Brotman, Stuart/Thompson, Bill
Warren, Tracy Venner)/Persoff, Nehemiah
Bissutti, Cathy Ann/Bondi, Beulah
Leiber Jr., Fritz/Bull, Richard
Buch, Fred/Hastings, Bob
DeCarlo, Mark/Crawford, Michael
Strauss, Peter/Morgan, Harry
Perry, Ty/Morgan, Harry
Deutsch, Patti/Crandall, Brad
Auld, Aggie/Bondi, Beulah
Brownlee, Frank/Daly, Jonathon
Lee, Chai/Plummer, Christopher
Graham, Tim/Jones, Gordon
Fitzgerald, Erin/Flynn, Joe
Gladstone, Zeph/Van Dyke, Dick
Cohen, Eli/Bresslaw, Bernard
Reynolds, Dorothy/Van Dyke, Dick
Smythe, Marcus/Adrian, Iris
Lerdorff Rye, Preben/Barry, Ivor
Ellis, James/Chadwick, Robin
Floyd, Bobby/Carlson, Richard
Bradford, Liberty/Alderson, John
Tomaino, Julie/Osmond, Cliff
Miskovitch, Milorad/Christian, Kurt
Benny, Jack/Goelz, Dave
Tal, Shmuel/Bresslaw, Bernard
Dunlap, Al/Welles, Orson
Cady, Frank/Reed, David
Anderson, Bill/Martinez, A
MacDonald, Dan/Barsi, Judith
Eastman, George/Wallach, Eli
Bender, Jack/Bruce, Nigel
Woodburn, Eric/Myhers, John
Sleep, Wayne/Amer, Nicolas
Amer, Nicolas/De Walt Reynolds, Adeline
Jones, Jane/Pine, Robert
Hurst, David/Bloom, Claire
McDonough, Kit/Pine, Robert
Coontz, Bill/Dunn, Liam
Stuart, Nicholas/Blanc, Mel
Bonds, Bill/Hutson, Candace
Preiss, Wolfgang/Blanc, Mel
Morter, Mary/Baer, Parley
Baker, Karily/Carney, Alan
Workman, Jennie/Braun, Pinkas
Gallaccio, Giuseppe/Reynolds, Michael J.
Maillot, Michel/Baer, Parley
Cuthbert, Elisha/Holloway, Sterling
Hughes, Miko/McDowall, Roddy
Connolly, Billy/Myhers, John
Waterman, Dennis/Fiedler, John
Gora, Claudio/Ito, Hisaya
Bird, Charlie L./Knotts, Don
Nolan, Jeanette/Johnson, Jason
Adams, Alan/Beaumont, Richard
Merrill, Gary/Funicello, Annette
Timuss, Debbie/Osmond, Cliff
Ross, Tony/Camp, Colleen
Wilkin, Jeremy/Chadwick, Robin
Ganger, Toby Scott/Carradine, David
Zafria, Tamar/Audley, Maxine
Miller, Larry/Collier, Patience
Jaeckel, Richard/Agutter, Jenny
Cabassiere, Robert/Wayne, John
Leake, Cynthia/Plummer, Christopher
Peters, Ralph/Abraham, F. Murray
Ritchie, Chris/Baylor, Hal
Resin, Dan/Dobtcheff, Vernon
Baer, Buddy/Adrian, Iris
Sawalha, Julia/Almanzar, James
Cahill, Stan/Bill, Tony
Howard, Arthur/Karras, Alex
Jameson, Joyce/Burton, John
Dale, Dick/Caillou, Alan
Hugo, Mauritz/Armstrong, R.G.
Krawetz, William/Martin, Andrea
DeLisle, Grey/Angel, Jack
Spain, Mark/Welker, Frank
Fox, Michael/Knotts, Don
James, Anthony/Taylor, Russi
Kawase, Hiroyuki/Weston, Jack
Yorty, Sam/Rooney, Mickey
Myers, Paulene/Hylands, Scott
Longworth, David/Bill, Tony
Bryant, Buddy/Baer, Parley
Bennett, Garrett/Silvers, Phil
Wyman, Jane/Brown, Pamela
Newhart, Bob/Welles, Orson
Franciscus, James/Court, Alyson
Sheldon, Jack/Presley, Elvis
Amalemba, Wally/Adrian, Iris
Mackay, John/Hastings, Bob
Barth, Eddie/Rush, Barbara
Kanaventi, Munyaradzi/Adams, Mason
Hughes, Tresa/Abbott, John
Reichow, Otto/Duncan, Sandy
Savoie, Katy/Bourgeois, John
Rowland, Gerald/Mason, James
Abbott, Sandra/Dobtcheff, Vernon
Wright, Richard/Tamblyn, Russ
Whelan, Gary/Allwine, Wayne
Tirmont, Dominique/Foray, June
Margolyes, Miriam/Frees, Paul
Babbage, Wilfred/Brannick, Dick
Burns, Stephen W./Brazeau, Jay
Lee, Robert/Foray, June
Boyd, Stephen/Chevalier, Maurice
Ratoucheff, Andy/Corden, Henry
Lester, Mark/Qureshi, Allaudin
Conroy, Laurence/Anderson Jr., Michael
Azizi, Rahi/Angel, Jack
Zwerling, Darrell/Fox, Bernard
Alton, Diana/Vigran, Herb
Nelligan, Micaela/Flower, George 'Buck'
Burbano, Mindy/Collier, Patience
Hutton, Rif/Adrian, Iris
Colmans, Edward/Allen, Patrick
Shepard, Jan/Bloom, Claire
Grandy, Fred/Hastings, Bob
Brill, Marty/Bruce, Eve
Schwenk, Laura/Corby, Ellen
Cahill, Barry/Taylor, Russi
Rigg, Carl/Benedict, William 'Billy'
Heath, Michael/Allen, Marty
Pine, Phillip/Darwell, Jane
Parker, Barnett/Wills, Chill
D'Andre, Dante/Brazeau, Jay
Cannon, Korry/Collier, Patience
Tinnon, Sarah/Currie, Finlay
M�ller, Paul/Cossins, James
Wager, Michael/Seymour, Jane
Jeffries, Lionel/Foulger, Byron
Kruger, Paul/Sawamura, Ikio
Wall, Jared/Conforti, Gino
Short, Martin/Crawford, Michael
Lulu, Allen/Hackett, Buddy
Martin, Dewey/Blanc, Mel
Hardy, Michele/Benedict, William 'Billy'
Clark, Susan/Wayne, Patrick
Waserman, Mona/Ballard, Ray
Williams, Rhoda/Dano, Royal
Bateman, Tony/Amer, Nicolas
Montgomery, Pricilla/Franciscus, James
Cass Sr., David S./Jones, Carolyn
Chernoff, Steven/Paulsen, Rob
Bailly, Chub/Sully, Frank
Simpson, Raeanin/Ayres, Lew
Foxley, W.G./Boyer, Charles
Alibe/Cossins, James
Moscona, Nicola/Best, James
Panabaker, Kay/Randall, Tony
Carpenter, Fred/Bondi, Beulah
Nelson, Adam/Cargill, Patrick
Bradburn, Donald/Hinrichsen, Niels
Cohen, Robert P./Angel, Jack
Gilbert, Lou/Brazzi, Rossano
Graham, Marsha/Reynolds, Michael J.
Bedard, Irene/Reynolds, Debbie
Sasaki, Takamaru/Abbott, John
Robinson, Doug/Mitri, Tiberio
McDaniel, Hattie/Coleman, Bryan
Armstrong, Georgina/Heston, Charlton
Taylor, Mark L./Pine, Robert
Schultz, Joel/Lennon, Jarrett
Cartier, Walter/Chaplin, Charles
Hurley, Melissa/Mars, Kenneth
Zegers, Kevin/Garber, Victor
Doyle, Major/Franciscus, James
Reed, Sandy/Williams, Adam
Lee, Rudy/Cummings, Jim
Salmi, Albert/Hutson, Candace
Marley, Eve/Bouchey, Willis
Parker, Melanie/Williams, John
Irving, Amy/MacNeille, Tress
Leedy, Glenn/Felton, Verna
Burnett, Russell/Corby, Ellen
Grey, Virginia/Burton, Corey
Rainey, Ford/Kirk, Tommy
Page, Eileen/Bloom, Claire
Linn-Baker, Mark/Bruce, Eve
Torcellini, Jamie/Williams, Vanessa L.
Hathaway, Jessica/Welker, Frank
English, Joe/Goelz, Dave
Marsh, Mary/Pine, Robert
Str�mstedt, Lotten/Bourvil
Auelua, Besmark/Bondi, Beulah
Grey, Duane/Connolly, Billy
Kuhn, Judy)/Reynolds, Debbie
Austin, Irene/Bondi, Beulah
Beymer, Richard/Blanc, Mel
Brian, David/Darden, Severn
Sharon, Bo/Adrian, Iris
Harnell, Jess/Carradine, David
Tiger, Donna/Hackett, Buddy
Omae, Wataru/Brooke, T.L.
Menken, Shepard/Jaffe, Sam
Epper, John/Ashley, John
Cuba, Rebkah/Berry, Ken
Young, Derek J./Allen, Mark
DeWitt, Fay/Harris, Phil
Spinney, Carroll/Presley, Elvis
Cannon, Peter/Betz, Carl
Elg, Taina/Cherry, Vivian
Kellin, Mike/Morgan, Harry
Searles, Jefferson Dudley/Gilchrist, Connie
Mfir, Miki/Bresslaw, Bernard
Waters Jr., Wilson/Rickles, Don
Porter, Jennifer Nichole/Corby, Ellen
Horton, Michael/Pickens, Slim
Sasaki, Katsuhiko/Agar, John
Borden, Viola/Mayeska, Ir�na
Rhodewalt, Bruce/Wright, Richard
Aldridge, Virginia/Reincke, Heinz
Baron, Sandy/Almanzar, James
Bolling, Gary/Azaria, Hank
Hughes, Janine/McDowall, Roddy
Pressler, Steven/Frees, Paul
Cusack, Cyril/Astor, Gertrude
Nova, Ludmilla/Amer, Nicolas
Kerrigan, J.M./Peppard, George
Hale, Alan/Holloway, Sterling
Leblanc, Wendy/Garr, Teri
Webber, Timothy/Silvers, Phil
D'Angelo, Beverly/Conway, Tim
Hesse, Zoe Rose/Dorsey, Kevin
Alisharan, Jason/Alexander, Jason
Snow, Robert R./Reynolds, Michael J.
Atwater, Edith/Reid, Milton
Dorl�ac, Fran�oise/Foray, June
Astileanu, Dan/Angel, Jack
Jewesbury, Edward/Coleman, Michael
Comar, Richard/Dorsey, Kevin
Parker, Thomas C./Connolly, Billy
Kennedy, George/Callaway, Liz)
Shale, Kerry/Gabor, Eva
Darby, Kim/Burton, Corey
Langford, Frances/Berle, Milton
Ootani, Ikue/Daimon, Masaaki
Busch, Robert/Davis, George
von Sydow, Max/Davis, George
Rode, Ebbe/Brooke, Walter
Masters, Michael/Jones, Carolyn
Bergen, Bob/Matheson, Tim
Sale, Ken/Azaria, Hank
Towne, Aline/Benedict, William 'Billy'
Douglas, Shaft/Wallach, Eli
Saewert, Ryan/Berry, Ken
Mower, Patrick/Carruthers, Ben
Holmes, Jerry/Darden, Severn
Murray, Forbes/Wynn, Ed
Grimes, Gary/Pyle, Denver
Jennings, Benton/Fuller, Lance
McGibbon, Ed/Barsi, Judith
Delfino, Frank/McCann, Chuck
Merjanian, Steve/Caillou, Alan
Spell, George/Hingle, Pat
Vogel, Tony/Van Dyke, Dick
Lester, Robie/Carradine, John
McLarty, Gary/Page, Geraldine
Madden, Sean/Cargill, Patrick
Kokas, Gyula/Bouchey, Willis
Wasserman, Molly)/Carradine, David
Cain, Betty Ann/Franciscus, James
Baron, Joanne/Allen, Mark
Boris, Tony/Worlock, Frederick
Skelton, Red/Duncan, Sandy
Idle, Eric/Baker, Dee Bradley
MacRae, Gordon/Braun, Pinkas
Willie, Boxcar/Bloom, Claire
Howard, Ann/Brannick, Dick
Ben-Haim, Avi/Audley, Maxine
Zirnkilton, Steven/Rist, Robbie
Brown, Wally/Ashley, John
Sengoku, Noriko/Abbott, John
Crawford, Alvin/Adams, Mason
Walsh, Kay/Anderson Jr., Michael
Silvers, Phil/Tobolowsky, Stephen
Gilbert, Patti/Brynner, Yul
Carrer, Emile/Chevalier, Maurice
Edwards, Stephanie/White, Betty
Lehmann, Theodore/Kirk, Tommy
Dabs, Paul/Adams, Mason
Massey, Barbara/Carlson, Richard
Kasznar, Kurt/Ames, Leon
Ishizuka, Unsh�/Daimon, Masaaki
Moriarty, Michael/Barry, Ivor
Asti, Adriana/Ahdar, David
Golden Eddie/Hingle, Pat
Scheff, Jerry/Mars, Kenneth
O'Halloran, Michael/Gwillim, Jack
Stensgaard, Yutte/Feld, Fritz
Wells, Don/Darden, Severn
Collins, John D./Rickles, Don
Luttrell, Brian/Williams, John
Adamson, 'J.J.' Joseph Otieno/Adrian, Iris
Hylland, Richard/Mifune, Toshir�
Bernard, Jack/Adam, Ronald
Bishop Jr., Howard W./Bull, Richard
Garner, James/Hinrichsen, Niels
Wakamatsu, Akira/McKennon, Dal
Barrie, Pamela/Brannick, Dick
McKenna, Samantha/Andrews, Harry
Weston, Bill/Kiley, Richard
Wilson, Georges/Blanc, Mel
Dunn, George/Sawamura, Ikio
Godfrey, Renee/Myhers, John
Pizo, Johnny/Franciscus, James
Coffey, Pablo/Bill, Tony
Bachman, Charles A./Adam, Ronald
Kaley, Nevena/Allen, Rex
Von Oppen, Manuella/Andrews, Harry
Cressoy, Pierre/Cummings, Jim
Jeavons, Colin/Chevalier, Maurice
Edwards, Paddi/Midler, Bette
Maranne, Andr�/Natwick, Mildred
Moss, Gene/Crawford, Michael
Dahl, Arlene/Ashley, John
Mitchell, Cameron/Ahn, Philip
Schultz, Albert/Dorsey, Kevin
Schaal, Wendy/Bikel, Theodore
Kusakawa, Naoya/Brooke, T.L.
Thorogood, Christian/Van Dyke, Dick
Flemyng, Robert/Feld, Fritz
Scott, Sandra/Barty, Billy
Hairston, Jester/Sofaer, Abraham
Watkins, Linda/Jackson, Michael
Bartlett, Philip/Daimon, Masaaki
Miller, Matt K./Olsen, Ashley
Marler, Christine/Camp, Colleen
Kusatsu, Clyde/Carradine, David
Perez, Jason/Berry, Ken
Harvey Jr., Harry/Chakiris, George
Hays, Kathryn/Hewitt, Alan
Callahan, Mushy/Cummings, Jim
Lewis, Artie/Long, Matthew
Taylor, Ron/Stone, Harold
Wong, B.D./Warner, David
Perrin, Jacques/Foray, June
Byrd, Dan/Vigran, Herb
Carlson, Gary/Coleman, Bryan
Grace, Henry/Blanc, Mel
Packer, Deborah/Frees, Paul
Nettheim, David/Darling, Jane
Davis, Lindy/Durning, Charles
Hopper, Bess/Foray, June
French, Antonia/Carlson, Richard
Brennan, Eileen/Bondi, Beulah
Jaffe, Nicole/Elias, Louie
Haboush, Michael/Carroll, Pat
Summers, Sean/Jaeckel, Richard
Fazio, Dino/Chevalier, Maurice
Magloire, Kim/Carlson, Richard
McGavin, Darren/Carradine, John
Houghton, Shep/Crawford, John
Whitford, David/Bergen, Edgar
Azzara, Candy/Ayres, Lew
de Ruiter, Albert/Crawford, Michael
Wonder, Stevie/Caillou, Alan
Denis, Prince/Franciscus, James
De Veyra, Yani/Bergman, Mary Kay
Hays, Robert/Ingham, Barrie
Webster, Hugh/Anderson Jr., Michael
Ashmore, Shawn/DeLuise, Dom
Douglas, Kirk/Hastings, Bob
Rea-Baum, Alexandra/Angel, Jack
Summer, Cree/Coleman, Dabney
Hayashibara, Megumi/Nakajima, Haruo
Kern, Pouel/Brooke, Walter
Grant, Campbell/O'Malley, J. Pat
Bone, Kristen/Curry, Tim
Best, Ahmed/Angel, Jack
Gunnarsson, Rutger/Berlinger, Warren
Petruzzi, Joe/Pinney, Patrick
Pennell, Larry/Hackett, Buddy
Tannen, Charles/Brandon, Henry
D'Costa, Danny/Pinney, Patrick
Monk, Roland/Alfredson, Hans
MacGibbon, Harriet E./Durning, Charles
Jackson, Clinton/Carlson, Richard
Turner, Wyetta/Audley, Maxine
Wolter, Ralf/Brand, Neville
Howerton, Clarence C. 'Major Mite'/Franciscus, James
Smith, Charles Martin/Brazeau, Jay
Wells, Delores/Caillou, Alan
Harrell, Rebecca/Frees, Paul
Hong, James/Ashley, John
Petersen, Poul/Agutter, Jenny
Horn, Linda/Plummer, Christopher
O'Dea, Denis/Ashley, John
Angel, Heather/DeLuise, Dom
Hobbs, Peter/Kirk, Tommy
Cada, James/Faulkner, Edward
Shore, Pauly/Whitaker, Johnny
Moir, Katherine/Williams, John
Ingersent, Anthony/Bakalyan, Richard
McMillan, Andrew Ian/Baer, Parley
Zabriskie, Tavia/Hackett, Buddy
Ditomaso, Matthew/Cargill, Patrick
Jakub, Lisa/Adrian, Iris
Salonga, Lea)/Warner, David
Granstedt, Greta/Greenwood, Charlotte
Stock, Nigel/Mason, James
Hondro, Marcus/Bill, Tony
Lohr, Marie/Sheybal, Vladek
Keays-Byrne, Hugh/Bergen, Edgar
Camen, Paul/McGuire, Dorothy
Turley, Janet/Ayres, Lew
Delamare, Victorien/Delfosse, Raoul
Gibb, Maurice/Ayres, Rosalind
Zagaria, Anita/Wynn, Keenan
Corrin, Aaron/Welker, Frank
Bennett, Ray/Sawamura, Ikio
Davalos, Elyssa/Jones, Carolyn
Leigh, Vivien/Coleman, Bryan
Corcoran, Kelly/Hewitt, Alan
Vuolo, Tito/Best, James
Harris, Laura/Alexander, Jason
Glenn, Jason/Carney, Alan
Shorter, Frank/Baker, George
Buttons, Red/Blanc, Mel
Hull, Henry/Rubin, Benny
Doncheff, Len/Welker, Frank
Tarantino, Tony/DeLuise, Dom
Clark, Victoria/Tobolowsky, Stephen
Checco, Al/Booke, Sorrell
Sturges, Solomon/Connolly, Billy
Garland, Judy/Franciscus, James
Lacey, Bruce/Clark, Petula
Stuart, Richard Michael/Allen, Mark
Horovitch, David/Gabor, Eva
Ewing, Roger/Casey, Bernie
Hamlin, Faye/Bikel, Theodore
Pintat, Guy/Abbott, John
Cooper, Justin/Borgnine, Ernest
Nelson, Willie/Paulsen, Rob
Quan, Brenna/Osmond, Cliff
Brewster, Diane/Gilchrist, Connie
Hall, Lois/Jones, Gordon
Craven, Gemma/Amer, Nicolas
Seri, Istv�n/Arne, Peter
Elias, Jeannie/Frees, Paul
Kishida, Shin/Adams, Nick
Kagure, Brian/Adams, Mason
Harron, Phil/Franciscus, James
Nicholls, David/Bond, Sudie
Maggiore, Sal/Dunn, Liam
O'Hara, James/Baer, Parley
Romero, Ned/Flynn, Joe
Freeman, Jonathan/Belle, Camilla
Brown, Alfred/Grabowski, Norman
Shoshan, Gabi/Baer, Parley
Oz, Frank/Worden, Hank
Clark, Robin/Tobolowsky, Stephen
Auberjonois, Rene/Fiermonte, Enzo
Krippen, Brenda/Kiley, Richard
Roberts, J.C./Dorsey, Kevin
Marx, Chico/Adam, Ronald
Byrne, Gabriel/Welker, Frank
France, Gloria/Bouchey, Willis
Eshley, Norman/Allen, Marty
Robbins, Tim/Williams, John
Hamilton, Hal/Davenport, Nigel
Armand, Alice/Campbell, Colin
Dosne, Andrea/Gough, Michael
Sinden, Donald/Cavadini, Cathy
Bennett, Lee/Morgan, Harry
DeLatte, Ed/Higgins, Michael
Fisher, Diane/Campbell, Colin
Steadman, John/Tamblyn, Russ
Irving, George S./Bruce, Eve
Albonico, Isabella/Gough, Michael
Colvig, Pinto/Chakiris, George
Gower, Ruth/Van Dyke, Dick
Halligan, William/Abraham, F. Murray
Conover, Bruce/Gwenn, Edmund
Harris, Winifred/Ericson, John
Zamprogna, Lou/Chaplin, Charles
Ford, Virginia Ann/Adam, Ronald
Potter, Denise/Plummer, Christopher
Einy, Menahem/Baer, Parley
Warshawsky, Ruth/Booke, Sorrell
Olek, Henry/McGreevey, Michael
Vaughan, Peter/Darling, Jane
Richards, Billie Mae/Revill, Clive
Rowan, Dan/Mineo, Sal
Bryant, Beaux/Allwine, Wayne
Aurian, Marc/Bouchey, Willis
Okello, Martin/Adrian, Iris
Hauser, Philo/Guth, Raymond
Gondy, Karina/Chakiris, George
Brennan, Kevin/Hewitt, Alan
Morello, Joe/Keith, Brian
Sweeney, Michael/Caron, Leslie
Hecht, Ted/Cummings, Jim
Haydel, Richard/Colvig, Pinto
Healy, Mary/Felton, Verna
Pearson, Drew/Corby, Ellen
Lindtner, Eli/Benedict, William 'Billy'
Garofalo, Janeane/Luddy, Barbara
Buchholz, Horst/Fiedler, John
Maloney, Tracey/Faulkner, Edward
Haskell, David/Brazeau, Jay
Evers, Jason/Hutson, Candace
Davis, Craig/Carlson, Richard
Horn, Michelle/Barry, Ivor
LaMarche, Maurice/Candido, Candy
Glick, Stacey/Wynn, Keenan
Delaney, Pat/Gary, Linda
Davis, Andy/Welker, Frank
Rogers, Brooks/Camp, Colleen
Dee, Ann/Bloom, Claire
Roemer, John/Baker, George
Lloyd, Jeremy/Bergman, Mary Kay
Urquhart, Molly/MacNeille, Tress
Smith, George/Armstrong, R.G.
Katrah, Usha/Geer, Will
Torm�, Daisy/Borgnine, Ernest
Kline, Kevin/Harrison, Gregory
Hinton, Darby/Durning, Charles
Wells, Danny/Moustache
Witty, Christopher/Ballard, Ray
Elliman, Yvonne/Audley, Maxine
Lantrip, Danny/Blake, Larry J.
Wall, Max/Haiduc, Ion
Marsh, Michele/Chaplin, Charles
Kirino, Nadao/Hayashibara, Megumi
Esformes, Nate/Burton, John
Kyriakou, Romana/Berry, Ken
Lorain, Sophie/Holloway, Sterling
Joseph-Mitchell, Liatt/Allwine, Wayne
Chakiris, George/Colvig, Pinto
Clifford, John/Baker, Diane
Weiser, Shari/Alexander, Ernie
Stewart, James/Close, Glenn
Weingott, Owen/Bakalyan, Richard
Sauv�, Ron/Brazeau, Jay
Malson, Linda/Mifune, Toshir�
Jeter, Michael/Williams, Vanessa L.
Thorson, Jay/Baker, George
Triller, Armand/Adam, Ronald
O'Hara, Maureen/Garner, James
Chaplin, Charles/McCrea, Joel
Hoyos Jr., Rodolfo/McGiver, John
Usami, Junya/Colvig, Pinto
Richter, Daniel/Baker, Diane
Sieck, Constanze/Moore, Alvy
Campbell, William/Pickard, John
Kelly, Moira/Morell, Andr�
Robards, Jason/McGiver, John
Ramsey, Rex/Pyle, Denver
Loeb, Lisa/Rist, Robbie
Leggatt, Alison/Bergman, Mary Kay
V�lz, Wolfgang/Taylor, Russi
Monti, Mimi/Gabor, Eva
Oropesa, Elizabeth/Bergman, Mary Kay
St. Heaps, Dorothy/Welker, Frank
Betz, Audrey/Bondi, Beulah
Jim, Marion/Mason, James
Bates, Michael/Feld, Fritz
Houdy, Pierick/Allen, Rex
Collette, Toni/Cumming, Alan
Marx, Harpo/Adam, Ronald
Markham, Monte/Adrian, Iris
Blue, Michele/Corby, Ellen
Phelps, Melina Lee/Plummer, Christopher
Butterworth, Donna/Bloom, Claire
Sawalha, Nadim/LuPone, Robert
Joyce, Yootha/Conried, Hans
Plummer, Amanda/Crawford, Michael
Hansen, Janis/Burton, Corey
Scott, Michael/Carney, Alan
McBroom, Marcia/Audley, Maxine
Roussel, Pierre/Alfredson, Hans
Mart�nez, Joaqu�n/Welker, Frank
Study, Lomax/Culkin, Macaulay
Austin, Karen/Bassett, William
Piper, Gordon/Welker, Frank
Pancake, Roger/Allen, Patrick
Machiavelli, Nicoletta/Brock, Stanley
Court, Alyson/Marin, Cheech
Cooper, Winnie/Culkin, Macaulay
Adrian, Iris/Davies, Rupert
Jefford, Barbara/Steafel, Sheila
Burch, Doug/Carter, John
Shenstone, Claire/Kiley, Richard
Berlitz, Lin/Bull, Richard
Bayard, Micha/Alfredson, Hans
Noble, Nobby/Baskcomb, John
Underdown, Edward/Gielgud, John
Mendenhall, David/Everhart, Rex
Megowan, Debbie/McDowall, Roddy
Mangan, Alf/Wayne, John
Garber, Victor/Knotts, Don
Gingold, Hermione/Crawley, Amos
Psaila, Kevin/Culkin, Macaulay
Benson, Frank/Colvig, Pinto
Hyatt, Charles/Lom, Herbert
Kramer, Bert/Stone, Harold
Gardiner, Patrick/Carruthers, Ben
Peabody, Dick/Gabor, Eva
Woodbury, Judith/Bloom, Claire
Davis, Jesse/Durning, Charles
McCoy, Sylvester/Chadwick, Robin
Peaker, E.J./Bloom, Claire
Timiaough, Jim/Garber, Victor
Aubrey, Jimmy/Ericson, John
Villalobos, Francisco/Sawamura, Ikio
King, Wright/Barry, Ivor
McGlinchey, Michael/Allen, Elizabeth
Emmanuel, Takis/Persoff, Nehemiah
Doreck, Chad/Allen, Mark
Daly, Tyne/Osmond, Cliff
Wilson, Flip/Romero, Cesar
Muc, Micheline/Abbott, John
Ferrero, Martin/Almanzar, James
Cosby, Bill/Driscoll, Bobby
Houston, Charles E./Bull, Richard
Merin, Eda Reiss/Ames, Leon
Newell, David/Coleman, Bryan
Phillips, Chynna/Osmond, Cliff
MacIntosh, Keegan/Morrison, Shelley
Cook, Clyde/Wynn, Keenan
Astran, Edward/Bondi, Beulah
Csizmadia, Gabriella/Brazeau, Jay
Lizzi, John/Azaria, Hank
Higden, Robert/Allister, Claud
Hall, Albert/Bull, Richard
Aotani, Dawn/Baker, George
Zuckerman, Josh/Barry, Ivor
Lee, Billy/Wills, Chill
Seth, Gorav/Reynolds, Michael J.
Cordova, Samuel/Welker, Frank
